Continent,Decade,female_count,total,percent_female
Africa,1920,1,11,9.090909090909092
Africa,1930,2,13,15.384615384615385
Africa,1940,3,19,15.789473684210526
Africa,1950,3,17,17.647058823529413
Africa,1960,8,21,38.095238095238095
Africa,1970,11,33,33.33333333333333
Africa,1980,1,6,16.666666666666664
Africa,1990,0,1,0.0
Africa,2000,0,1,0.0
Americas,1770,0,1,0.0
Americas,1790,0,1,0.0
Americas,1800,0,1,0.0
Americas,1810,0,4,0.0
Americas,1820,0,16,0.0
Americas,1830,2,20,10.0
Americas,1840,1,26,3.8461538461538463
Americas,1850,2,41,4.878048780487805
Americas,1860,8,65,12.307692307692308
Americas,1870,11,80,13.750000000000002
Americas,1880,21,181,11.602209944751381
Americas,1890,53,264,20.075757575757574
Americas,1900,73,410,17.804878048780488
Americas,1910,71,461,15.40130151843818
Americas,1920,116,660,17.575757575757574
Americas,1930,131,774,16.925064599483207
Americas,1940,252,934,26.98072805139186
Americas,1950,176,619,28.432956381260098
Americas,1960,150,475,31.57894736842105
Americas,1970,114,407,28.00982800982801
Americas,1980,51,137,37.22627737226277
Americas,1990,2,20,10.0
Americas,2000,0,17,0.0
Americas,2010,0,5,0.0
Asia,1830,0,1,0.0
Asia,1870,0,1,0.0
Asia,1880,0,8,0.0
Asia,1890,2,27,7.4074074074074066
Asia,1900,0,38,0.0
Asia,1910,3,44,6.8181818181818175
Asia,1920,6,65,9.230769230769232
Asia,1930,14,119,11.76470588235294
Asia,1940,10,87,11.494252873563218
Asia,1950,18,72,25.0
Asia,1960,30,115,26.08695652173913
Asia,1970,32,100,32.0
Asia,1980,14,32,43.75
Asia,1990,2,9,22.22222222222222
Asia,2000,0,7,0.0
Europe,1180,0,1,0.0
Europe,1730,0,1,0.0
Europe,1740,0,1,0.0
Europe,1750,0,1,0.0
Europe,1760,0,1,0.0
Europe,1780,0,4,0.0
Europe,1790,1,10,10.0
Europe,1800,0,20,0.0
Europe,1810,1,51,1.9607843137254901
Europe,1820,1,43,2.3255813953488373
Europe,1830,0,39,0.0
Europe,1840,2,47,4.25531914893617
Europe,1850,1,61,1.639344262295082
Europe,1860,7,149,4.697986577181208
Europe,1870,16,183,8.743169398907105
Europe,1880,28,331,8.459214501510575
Europe,1890,46,365,12.602739726027398
Europe,1900,47,378,12.433862433862434
Europe,1910,30,263,11.406844106463879
Europe,1920,44,483,9.109730848861282
Europe,1930,58,523,11.089866156787762
Europe,1940,69,495,13.939393939393941
Europe,1950,63,388,16.237113402061855
Europe,1960,124,459,27.01525054466231
Europe,1970,78,304,25.657894736842106
Europe,1980,27,82,32.926829268292686
Europe,1990,1,22,4.545454545454546
Europe,2000,0,21,0.0
Europe,2010,0,6,0.0
Oceania,1880,0,2,0.0
Oceania,1900,0,4,0.0
Oceania,1910,0,6,0.0
Oceania,1920,1,4,25.0
Oceania,1930,1,10,10.0
Oceania,1940,1,15,6.666666666666667
Oceania,1950,1,5,20.0
Oceania,1960,2,7,28.57142857142857
Oceania,1970,2,7,28.57142857142857
Oceania,1980,0,4,0.0
Oceania,2000,0,2,0.0
